,Valor,Efetuado,Fixo,Data,Categoria,Descrição
0,4100.0,0,1,2023-07-01,Salário,Salário
1,4100.0,0,1,2023-08-01,Salário,Salário
2,4100.0,0,1,2023-09-01,Salário,Salário
3,4100.0,0,1,2023-10-01,Salário,Salário
4,4100.0,0,1,2023-11-01,Salário,Salário
5,4100.0,0,1,2023-12-01,Salário,Salário
6,4100.0,0,1,2024-01-01,Salário,Salário
7,4100.0,0,1,2024-02-01,Salário,Salário
8,4100.0,0,1,2024-03-01,Salário,Salário
9,4100.0,0,1,2024-04-01,Salário,Salário
10,4100.0,0,1,2024-05-01,Salário,Salário
11,4100.0,0,1,2024-06-01,Salário,Salário
